"Locale","Image","Title","Sales Rank: Historical","Sales Rank: Current","Sales Rank: 90 days avg.","Sales Rank: Drops last 90 days","Sales Rank: Reference","Sales Rank: Subcategory Sales Ranks","Bought in past month","Reviews: Rating","Reviews: Review Count","Ratings - Format Specific","Review Count - Format Specific","Last Price Change","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Buy Box 🚚: Stock","Buy Box 🚚: 90 days OOS","Buy Box Seller","Buy Box: Is FBA","Buy Box: Unqualified","Amazon: Current","Amazon: 90 days avg.","Amazon: 90 days OOS","New: Current","New: 90 days avg.","New: 90 days OOS","New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","New, 3rd Party FBM 🚚: Current","New, 3rd Party FBM 🚚: 90 days avg.","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","Lightning Deals: Current","Lightning Deals: Upcoming Deal","Buy Box Used 🚚: Current","Buy Box Used 🚚: 90 days avg.","Buy Box Used Seller","Buy Box Used: Is FBA","Buy Box Used: Condition","Used: Current","Used: 90 days avg.","Used: 90 days OOS","Used, like new 🚚: Current","Used, like new 🚚: 90 days avg.","Used, very good 🚚: Current","Used, very good 🚚: 90 days avg.","Used, good 🚚: Current","Used, good 🚚: 90 days avg.","Used, acceptable 🚚: Current","Used, acceptable 🚚: 90 days avg.","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","List Price: Current","List Price: 90 days avg.","Rental: Current","Rental: 90 days avg.","eBay New 🚚: Current","eBay New 🚚: 90 days avg.","eBay Used 🚚: Current","eBay Used 🚚: 90 days avg.","New Offer Count: Current","New Offer Count: 90 days avg.","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","ASIN","Product Codes: EAN","Product Codes: UPC","Product Codes: PartNumber","Parent ASIN","Variation ASINs","Freq. Bought Together","Type","Manufacturer","Brand","Product Group","Model","Variation Attributes","Color","Size","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Hazardous Materials","Adult Product","Trade-In Eligible","Prime Eligible (Buy Box)","Subscribe and Save","One Time Coupon: Absolute","One Time Coupon: Percentage","Subscribe and Save Coupon: Percentage"
"com","https://m.media-amazon.com/images/I/41g1x-oV9nL.jpg;https://m.media-amazon.com/images/I/51M58grCRUL.jpg;https://m.media-amazon.com/images/I/41c+LPRjYmL.jpg;https://m.media-amazon.com/images/I/51W6FT0zjNL.jpg;https://m.media-amazon.com/images/I/51oy2PBtY7L.jpg;https://m.media-amazon.com/images/I/41tS-AyXtZL.jpg;https://m.media-amazon.com/images/I/41cHo2mZIQL.jpg","NatureWise Vitamin D3 5000iu (125 mcg) 1 Year Supply for Healthy Muscle Function, and Immune Support, Non-GMO, Gluten Free in Cold-Pressed Olive Oil, Packaging Vary ( Mini Softgel), 360 Count","36","16","23","234","Health & Household","# 3 | Climate Pledge Friendly: Health and Household; # 1 | Top 0.01% | Vitamin D Supplements","100000","4.8","161710","127991","10910","2023/12/26 01:04","$ 9.99","$ 10.69","36","0 %","Amazon","yes","no","$ 9.99","$ 10.69","0 %","$ 9.99","$ 10.69","0 %","$ 14.99","$ 14.99","$ 3.09","8.01 %","$ 0.80","","","","","","no","","","","no","","","","100 %","","","","","","","","","","$ 7.78","$ 14.99","$ 14.99","","","$ 11.99","$ 10.21","","","2","2","2","0","","","2015/04/02","2013/11/01","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B00GB85JR4","0700613019009","858081006042","VD35000-360","B0CS58DRH3","B09886T6CY,B0CKFZF11Y,B09B2VRBDF,B0CKFX6YVR,B0CKFLKXK6,B0CKFMCLFP,B01J2ZA760,B0CKFPGTZV,B0CKFQVNDL,B093N7JJYL,B01J2ZA8HI,B0CKFQPN3R,B01F27DUES,B07QBXPT2F,B01C36DIOI,B00GB85JR4","B000GCQ8X0, B000NPYY04","VITAMIN","NatureWise","NatureWise","Drugstore","NW10057","Style: 5000IU; Size: 360 Count (Pack of 1);","Yellow","360 Count (Pack of 1)","","","","","Health and Beauty","1","","2013-11-02","2013-10-30","","370","110","1","730","45","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/41Y0vfI0wmL.jpg;https://m.media-amazon.com/images/I/41ixiI8b72L.jpg;https://m.media-amazon.com/images/I/51O6vtvqpzL.jpg;https://m.media-amazon.com/images/I/51be1mLiBlL.jpg;https://m.media-amazon.com/images/I/41+7edLGYvL.jpg;https://m.media-amazon.com/images/I/41ciazRfCuL.jpg","Sports Research Vitamin D3 + K2 with 5000iu of Plant-Based D3 & 100mcg of Vitamin K2 as MK-7 | Non-GMO Verified & Vegan Certified,Softgel (120ct)","105","118","240","243","Health & Household","# 2 | Top 0.03% | Vitamin D Supplements","7000","4.7","39895","4442","985","2024/02/21 15:16","$ 42.99","$ 43.49","5","1 %","3rd Party (A32DHUU2L2KC92)","no","no","","","100 %","$ 42.99","$ 42.43","0 %","$ 35.16","$ 43.75","$ 3.86","14.99 %","$ 6.44","$ 41.20","$ 43.02","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 48.95","$ 48.95","","","$ 21.99","$ 38.32","","","4","7","1","4","","","2019/02/21","2019/03/08","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B07NXW4GW7","0023249012344","023249012344","FG","B0CCDHCXVS","B08YD4JRXV,B07255MPRN,B07NXW4GW7","B00T56FQAE, B07DX89ZHN","VITAMIN","Sports Research","Sports Research","Drugstore","FG","Size: 120 Count (Pack of 1); Style: 5000iu D3+K2;","","120 Count (Pack of 1)","","","","","","1","","","","","308","82","1","352","82","","no","no","no","no","-","-","-"
"com","https://m.media-amazon.com/images/I/516z5YpnLfL.jpg;https://m.media-amazon.com/images/I/71sCfMn2mHL.jpg;https://m.media-amazon.com/images/I/71NFM42ObHL.jpg;https://m.media-amazon.com/images/I/71OH5HQZyTL.jpg;https://m.media-amazon.com/images/I/61Fp++tm6RL.jpg;https://m.media-amazon.com/images/I/61to-ei3C6L.jpg","Sports Research Vitamin D3 5000 IU with Coconut MCT Oil - High Potency Vitamin D Supplement for Immune & Bone Support - Non-GMO Verified, Gluten & Soy Free – 125mcg, 360 Liquid Softgels","238","874","1268","342","Health & Household","# 15 | Top 0.23% | Vitamin D Supplements","10000","4.8","58477","57874","10867","2024/02/19 03:24","$ 15.16","$ 18.24","3","0 %","3rd Party (AQAIDN8YDF665)","yes","no","","","100 %","$ 15.16","$ 18.22","0 %","$ 15.16","$ 18.24","$ 4.08","14.97 %","$ 2.27","$ 33.79","$ 33.89","","","","no","","","","no","","","","100 %","","","","","","","","","","$ 10.05","$ 20.95","$ 20.96","","","$ 13.49","$ 15.50","","","5","5","1","4","","","2014/07/20","2014/04/02","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B00JGCBGZQ","0023249004363","023249004363","D3PARENT","B0CJTKRX6Z","B07GKZVVG6,B00JGCBGZQ","B00JGCPAYY, B07DX89ZHN","VITAMIN","Sports Research","Sports Research","Drugstore","FG160","Size: 360 Count (Pack of 1);","","360 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","396","150","1","455","18","","no","no","yes","yes","-","-","10 %"
"com","https://m.media-amazon.com/images/I/81uSXouLLkL.jpg;https://m.media-amazon.com/images/I/71y6AdR9-7L.jpg;https://m.media-amazon.com/images/I/81TFt6iACVL.jpg;https://m.media-amazon.com/images/I/71Mrbh89t4L.jpg;https://m.media-amazon.com/images/I/71eHW-UwIZL.jpg;https://m.media-amazon.com/images/I/71H+xIPC2nL.jpg;https://m.media-amazon.com/images/I/71sUH6Y9pGL.jpg;https://m.media-amazon.com/images/I/71mlir0wiIL.jpg;https://m.media-amazon.com/images/I/81Dum3g1lrL.jpg","Bronson Vitamin K2 (MK7) with D3 Supplement Bone and Heart Health Non-GMO Formula 5000 IU Vitamin D3 & 90 mcg Vitamin K2 MK-7 Easy to Swallow Vitamin D & K Complex, 250 Capsules","322","222","260","273","Health & Household","# 4 | Top 0.05% | Vitamin D Supplements","5000","4.7","25667","7030","1432","2024/01/15 03:22","$ 24.99","$ 24.80","1000","0 %","3rd Party (A2J4ZY0V0O83WY)","yes","no","","","100 %","$ 24.99","$ 24.80","0 %","$ 24.99","$ 24.80","$ 4.08","15.01 %","$ 3.75","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 29.99","","","","","","","1","1","1","0","","","2018/03/16","2018/05/06","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B0792Z6434","","","781C","B07BH4RXTN","B0779M341X,B0771R5L28,B0792Z6434,B0BXBHZC84","B000GCQ8X0, B000BD0RT0","VITAMIN","Bronson Labs","Bronson","Drugstore","VC-a4-69283","Size: 250 Count (Pack of 1);","","250 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","838","136","250","871","82","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71JO8SJ5mBL.jpg;https://m.media-amazon.com/images/I/71P6bazmjhL.jpg;https://m.media-amazon.com/images/I/71QAMgi2X5L.jpg;https://m.media-amazon.com/images/I/71WdNktvxeL.jpg;https://m.media-amazon.com/images/I/8191rc+3qFL.jpg;https://m.media-amazon.com/images/I/615mBDvSP+L.jpg;https://m.media-amazon.com/images/I/71EdYYV6gUL.jpg;https://m.media-amazon.com/images/I/71fNYh1mBpL.jpg","Nature Made Vitamin D3 1000 IU (25 mcg) Softgel, Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 300 Day Supply,300 Count (Pack of 1)","323","207","277","263","Health & Household","# 3 | Top 0.03% | Vitamin D Supplements","30000","4.8","40436","33128","1518","2024/02/21 09:16","$ 12.28","$ 12.34","5","22 %","3rd Party (AUHTEIOLAOZN)","yes","no","$ 12.35","$ 12.35","22 %","$ 11.49","$ 11.58","0 %","$ 12.27","$ 13.96","$ 3.86","15.02 %","$ 1.84","$ 15.91","$ 15.30","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 19.29","$ 19.29","","","$ 9.00","$ 9.00","","","26","23","6","20","","","2017/07/06","2011/03/24","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B004U3Y8OM","0031604026776","031604026776","2677","B0CQWCLBDG","B004U3Y8SI,B004GJRFYA,B00G4EOS86,B00EZWTBR2,B004U3Y8OM,B00MW1S3M2,B016LE1SQI","B00DS5BGDY, B0000DJAVX","VITAMIN","Nature Made","Nature Made","Drugstore","2677","FlavorName: Unflavored; Size: 300 Count;","300 Count","300 Count","","","","","Health and Beauty","1","","2011-03-25","2022-05-17","","339","109","1","584","105","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/41T9MsyhtyL.jpg;https://m.media-amazon.com/images/I/51PQyTUn-DL.jpg;https://m.media-amazon.com/images/I/416KSEr00sL.jpg;https://m.media-amazon.com/images/I/5193MFRwDfL.jpg;https://m.media-amazon.com/images/I/61wBlHj2O8L.jpg;https://m.media-amazon.com/images/I/412p+zRUiFL.jpg;https://m.media-amazon.com/images/I/41u-JbmjTML.jpg;https://m.media-amazon.com/images/I/51e2KSvPBbL.jpg","Nature Made Extra Strength Vitamin D3 5000 IU (125 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 180 Softgels, 180 Day Supply","341","814","647","280","Health & Household","# 14 | Top 0.09% | Vitamin D Supplements","20000","4.8","59010","35342","1169","2024/02/21 15:12","$ 13.33","$ 13.78","","29 %","Amazon","yes","no","$ 13.33","$ 13.77","29 %","$ 13.33","$ 15.69","0 %","$ 14.89","$ 19.33","$ 3.86","15 %","$ 2.00","$ 24.00","$ 21.76","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 28.99","$ 28.99","","","$ 7.99","$ 8.09","","","12","12","2","10","","","2013/11/02","2012/06/29","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B008GC9T6A","0031604027780","031604027780","2778","B0BLB9RWBR","B0037LOLKY,B00OFLNH82,B008GC9T6A,B006X81ZI4,B0828JGTXB","B000GCQ8X0, B0019GE9HE","VITAMIN","Nature Made","Nature Made","Drugstore","2778","Size: 180 Count;","180 Count","180 Count","","","","","Health and Beauty","1","","2012-07-27","","","235","68","1","273","","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/71mg9HEn7BL.jpg;https://m.media-amazon.com/images/I/71Hl8KZGwUL.jpg;https://m.media-amazon.com/images/I/71haxeJEQmL.jpg;https://m.media-amazon.com/images/I/71J2ndyIbqL.jpg;https://m.media-amazon.com/images/I/61woRhh7SHL.jpg","NOW Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels","346","321","287","291","Health & Household","# 44 | Top 0.02% | Diet & Sports Nutrition; # 5 | Top 0.06% | Vitamin D Supplements","10000","4.8","44920","37405","3031","2024/02/21 13:28","$ 12.06","$ 10.27","36","1 %","Amazon","yes","no","$ 12.06","$ 10.27","0 %","$ 12.06","$ 10.13","0 %","$ 13.47","$ 9.88","$ 3.86","15.01 %","$ 1.81","$ 13.39","$ 13.13","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 22.99","$ 22.99","","","$ 16.83","$ 8.58","","","18","15","3","13","","","2011/03/24","2004/10/24","Health & Household","Diet & Sports Nutrition, Vitamin D","Health & Household › Diet & Sports Nutrition","no","B0032BH76O","5052958202925, 0786502300243, 0758399755741, 0885721216684, 0789602300243, 0733739003737","789602300243, 758399755741, 733739003737, 885721216684, 786502300243","NF_0373","B0CGFS1MC5","B00O5O4882,B09319WFSB,B002EA99HE,B08Y999CRL,B0032BH76O,B017F9FOFO","B00JTI5B12, B0013OUNK4","VITAMIN","NOW Sports - Nutrition and Wellness","NOW","Drugstore","0373","Size: 240 Count (Pack of 1);","Yellow/Green","240 Count (Pack of 1)","","","","","Health and Beauty","1","","","2010-06-17","German","164","82","1","160","80","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/414iAeuTSfL.jpg;https://m.media-amazon.com/images/I/31I1f87NMWL.jpg;https://m.media-amazon.com/images/I/41ABXrYzWZL.jpg;https://m.media-amazon.com/images/I/51Dtm9iOt1L.jpg;https://m.media-amazon.com/images/I/51qrDDlg+fL.jpg;https://m.media-amazon.com/images/I/519sPEzJh3L.jpg;https://m.media-amazon.com/images/I/41mzIXiZESL.jpg","Nature's Bounty Vitamin D, Supports Immune Health & Bone Health, 2000IU Vitamin D3, 150 Softgels ,150 Count (Pack of 1)","355","2409","1815","270","Health & Household","# 32 | Top 0.3% | Vitamin D Supplements","10000","4.7","4190","3872","239","2024/02/21 15:30","$ 8.49","$ 9.31","12","0 %","3rd Party (A3DQNRAWH5BSQE)","yes","no","$ 8.99","$ 9.37","0 %","$ 6.99","$ 8.23","0 %","$ 8.48","$ 9.23","$ 3.09","8.04 %","$ 0.68","$ 8.35","$ 10.61","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 13.46","$ 13.46","","","","","","","21","16","11","9","","","2012/01/11","2006/06/22","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B00159JNIU","0074312176210","074312176210","17621","","","B000GCQ8X0, B0019GE9HE","VITAMIN","US Nutrition","Nature's Bounty","Drugstore","88621","","","150 Count (Pack of 1)","","","","","Health and Beauty","1","","2011-01-18","2021-12-08","","221","59","1","265","59","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/41VxJkhcDTL.jpg;https://m.media-amazon.com/images/I/51oReOGgmJL.jpg;https://m.media-amazon.com/images/I/51hk5PeKgVL.jpg;https://m.media-amazon.com/images/I/517LC8dd3pL.jpg;https://m.media-amazon.com/images/I/513BfAIsN2L.jpg;https://m.media-amazon.com/images/I/41Hrae4rwgL.jpg;https://m.media-amazon.com/images/I/51KoTP8rZQL.jpg","Nature's Bounty Vitamin D3, Immune Support, 125 mcg (5000iu), Rapid Release Softgels, 240 Ct","355","785","839","272","Health & Household","# 12 | Top 0.16% | Vitamin D Supplements","10000","4.8","71753","71747","1649","2024/02/21 15:44","$ 17.22","$ 16.97","1000","0 %","Amazon","yes","no","$ 17.22","$ 17.21","0 %","$ 10.93","$ 14.11","0 %","$ 16.52","$ 17.35","$ 4.08","14.98 %","$ 2.58","$ 17.22","$ 19.22","","","","no","","","","no","","","","100 %","","","","","","","","","","$ 9.93","$ 31.31","$ 31.31","","","$ 13.99","$ 12.94","","","30","33","7","13","","","2015/09/12","2013/06/25","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B00DN4VCA2","0074312291760","074312291760","NRT29176","B0CLM55MB3","B00DN4VCA2","B000GCQ8X0, B000GG87V2","VITAMIN","US Nutrition","Nature's Bounty","Drugstore","89176","Size: 240 Count (Pack of 1);","","240 Count (Pack of 1)","","","","","Health and Beauty","1","","2014-01-10","2014-01-07","","561","132","1","383","45","","no","no","yes","no","$ 0.97","-","-"
"com","https://m.media-amazon.com/images/I/41AwGxilrHL.jpg;https://m.media-amazon.com/images/I/515BBmmAs7L.jpg;https://m.media-amazon.com/images/I/51FMYSOCyIL.jpg;https://m.media-amazon.com/images/I/51NsqKxH6rL.jpg;https://m.media-amazon.com/images/I/61kGw-39SlL.jpg;https://m.media-amazon.com/images/I/41VFTyeroRL.jpg;https://m.media-amazon.com/images/I/417iCCb8AOL.jpg;https://m.media-amazon.com/images/I/51mLD5SUZ9L.jpg","Nature Made Vitamin D3 2000 IU (50 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 100 Tablets, 100 Day Supply","366","531","745","248","Health & Household","# 9 | Top 0.11% | Vitamin D Supplements","8000","4.7","41480","7681","255","2024/02/21 09:36","$ 6.99","$ 7.19","36","0 %","Amazon","yes","no","$ 6.99","$ 7.20","0 %","$ 4.01","$ 6.12","0 %","$ 8.99","$ 7.88","$ 3.09","8.01 %","$ 0.56","$ 11.99","$ 11.86","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 11.29","$ 11.29","","","","","","","21","22","4","16","","","2013/09/30","2010/12/15","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B004GJRFYK","0031604026738","031604026738","2673","B0CQWCHX8R","B0CHDSH9V2,B0CHSHW56D,B0CKBRG6XW,B004GJRFYK,B008GC9T1K,B004U3Y8NI,B01IAIMMJK,B00G4EIEVS,B00EMM85Z4,B00H30KDSY","B000GCQ8X0, B0019GE9HE","VITAMIN","Pharmavite","Nature Made","Drugstore","2673","FlavorName: 2000 I.U.; Size: 100 Count;","100 Count","100 Count","","","","","Health and Beauty","1","","2010-12-16","","","226","59","1","281","","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71J4sTv80yL.jpg;https://m.media-amazon.com/images/I/81IzJLtStuL.jpg;https://m.media-amazon.com/images/I/81+z7EryOoL.jpg;https://m.media-amazon.com/images/I/81+mtO+VtZL.jpg;https://m.media-amazon.com/images/I/71rftefnI4L.jpg;https://m.media-amazon.com/images/I/81cZtDy1jYL.jpg;https://m.media-amazon.com/images/I/71RsRATxzML.jpg;https://m.media-amazon.com/images/I/716RekKGIsL.jpg","Vitafusion Vitamin D3 Gummy Vitamins for Bone and Immune System Support, Peach, Blackberry and Strawberry Flavored, 50 mcg Vitamin D, 75 Day Supply, 150 Count","449","373","432","290","Health & Household","# 7 | Top 0.09% | Vitamin D Supplements","30000","4.7","50330","50282","3735","2024/02/21 01:44","$ 10.45","$ 10.55","30213","0 %","Amazon","yes","no","$ 10.45","$ 10.57","0 %","$ 9.89","$ 9.94","0 %","$ 10.49","$ 12.70","$ 4.75","15.04 %","$ 1.57","$ 9.89","$ 10.02","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 12.49","$ 12.49","","","$ 6.00","$ 5.61","","","22","25","3","18","","","2012/04/20","2006/06/22","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B004XLRTUQ","0027917021348, 4600697400488, 4606144002625, 4600702030273, 0885810211958, 0885260278402, 0027917018737, 0022600277002","022600277002, 027917021348, 885260278402, 027917018737, 885810211958","1102134","B0CV91XST8","B004XLRTUQ","B00OJOL3KO, B003FW4UME","VITAMIN","Church & Dwight - Nutrition & Wellness","Vitafusion","Drugstore","1102134","FlavorName: Peach,Berry; Size: 150 Count (Pack of 1);","Absolutely Orange","150 Count (Pack of 1)","","","","","Health and Beauty","1","","2011-11-28","2015-03-19","","1011","391","1","1050","380","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/51z6GhFiGVL.jpg;https://m.media-amazon.com/images/I/71P6bazmjhL.jpg;https://m.media-amazon.com/images/I/71QAMgi2X5L.jpg;https://m.media-amazon.com/images/I/710NlE9r1XL.jpg;https://m.media-amazon.com/images/I/81w8115-lTL.jpg;https://m.media-amazon.com/images/I/615mBDvSP+L.jpg;https://m.media-amazon.com/images/I/71fR9Npp1iL.jpg;https://m.media-amazon.com/images/I/71Le6AJw6DL.jpg","Nature Made Vitamin D3 1000 IU (25 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 100 Softgels, 100 Day Supply (Pack of 2)","502","","341133","6","","# 2,502 | Top 27% | Vitamin D Supplements","","4.6","3","3","0","2024/02/03 07:56","$ 19.92","$ 20.27","36","1 %","Amazon","yes","no","$ 19.92","$ 20.27","0 %","$ 19.92","$ 20.27","0 %","","","$ 4.08","15.01 %","$ 2.99","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 17.18","","","","","","","1","1","1","0","","","2023/09/22","2023/09/22","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B0CJMG6ZTS","","","2675","B0B9C41CWK","B0CJMG6ZTS","","VITAMIN","Nature Made","Nature Made","Drugstore","2675","Size: 100 Count (Pack of 2);","Brown","100 Count (Pack of 2)","","","","","Product Bundle","2","","","","","239","118","1","281","109","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/618pgx5UjeL.jpg;https://m.media-amazon.com/images/I/61x3oymMU4L.jpg;https://m.media-amazon.com/images/I/71+Yjcrp0AL.jpg;https://m.media-amazon.com/images/I/71PyFl5JPWL.jpg;https://m.media-amazon.com/images/I/71IgjmRG7SL.jpg;https://m.media-amazon.com/images/I/71oOu3bxNTL.jpg","Dr. Berg's Vitamin D3 K2 Supplement w/MCT Oil - Includes 10,000 IU of Vitamin D3, 100 mcg MK7 Vitamin K2, Purified Bile Salts, Zinc & Magnesium for Ultimate Absorption - 120 Capsule","747","439","550","319","Health & Household","# 8 | Top 0.1% | Vitamin D Supplements","10000","4.7","11122","8426","922","2024/02/21 05:26","$ 35.99","$ 35.88","1000","1 %","3rd Party (A2OX4MPUC5JW0R)","yes","no","","","100 %","$ 35.99","$ 35.78","0 %","$ 35.99","$ 35.79","$ 3.86","15 %","$ 5.40","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 37.99","$ 37.99","","","$ 44.95","$ 44.14","","","3","4","3","0","","","2017/04/04","2017/02/08","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B06WRNG37C","0602573122433","602573122433","D3K2-1","B0B59YH93C","B0B4BG1WDM,B06WRNG37C","B076B24P1W, B06W9F3X88","VITAMIN","The Health & Wellness Inc.","Dr. Berg Nutritionals","Drugstore","","Size: 120 Count (Pack of 1);","","120 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","396","100","1","","100","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71213aB7LuL.jpg;https://m.media-amazon.com/images/I/81zLql84JlL.jpg;https://m.media-amazon.com/images/I/41Ctx13NmGL.jpg;https://m.media-amazon.com/images/I/61Tp-erBxNL.jpg;https://m.media-amazon.com/images/I/41DgPNDMmyL.jpg","THORNE Vitamin D-1000 - Vitamin D3 Supplement - 1,000 IU - Support Healthy Bones, Teeth, Muscles, Cardiovascular, and Immune Function - Gluten-Free,Dairy-Free, Soy-Free - 90 Capsules","761","2358","1970","276","Health & Household","# 31 | Top 0.31% | Vitamin D Supplements","10000","4.8","2640","2186","117","2024/02/14 11:50","$ 12.00","$ 11.10","3","0 %","3rd Party (A2EJCTH67GJMT3)","yes","no","","","100 %","$ 12.00","$ 11.10","0 %","$ 12.00","$ 11.08","$ 3.86","15 %","$ 1.80","$ 17.49","$ 17.00","","$ 8.80","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 11.09","","","","","","","2","2","1","1","","","2018/03/02","2001/10/01","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B0797H3VQS","0713947719507, 0693749128014","713947719507, 693749128014","D128-R","","","B00O59SH3E, B0797HQFGT","VITAMIN","Thorne Research","THORNE","Drugstore","D128","","","90 Count (Pack of 1)","","","","","Health and Beauty","1","","","","German","120","18","90","139","","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/41JcH5zgxkL.jpg;https://m.media-amazon.com/images/I/51v0NXiC1pL.jpg;https://m.media-amazon.com/images/I/21hT5TtdvZL.jpg;https://m.media-amazon.com/images/I/41OujhG6rGL.jpg;https://m.media-amazon.com/images/I/3139DHp49NL.jpg;https://m.media-amazon.com/images/I/41V16P33z4L.jpg;https://m.media-amazon.com/images/I/51Bl+6WJTlL.jpg;https://m.media-amazon.com/images/I/41AXd-LMxYL.jpg","THORNE Vitamin D-5000 - Vitamin D3 Supplement - Support Healthy Bones, Teeth, Muscles, Cardiovascular, and Immune Function - NSF Certified for Sport - Dairy-Free, Soy-Free - 60 Capsules","761","712","778","284","Health & Household","# 11 | Top 0.15% | Vitamin D Supplements","20000","4.8","6821","6108","311","2024/02/08 12:16","$ 16.00","$ 15.62","3","0 %","3rd Party (A2EJCTH67GJMT3)","yes","no","","","100 %","$ 16.00","$ 15.50","0 %","$ 16.00","$ 15.53","$ 3.86","15 %","$ 2.40","$ 21.30","$ 20.39","","$ 11.20","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 16.00","","","","","","","4","4","2","2","","","2018/03/02","2001/10/01","Health & Household","Vitamin D","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin D","no","B0797HQFGT","0693749138013","693749138013","D138-R","","","B0012ZQPKG, B0797HCZVV","VITAMIN","Thorne Research","THORNE","Drugstore","D138","","","60 Count (Pack of 1)","","","","","","1","","","","","120","18","60","139","18","","no","no","yes","yes","-","-","10 %"
